yr;school_id;class_id;class_name;min_rank;max_rank
2024;2216306;2277;Математически (математика и информатика) - АЕ (РИЧЕ);484.25;485.5
2024;2216306;4486;Математически (математика и физика) - АЕ (РИЧЕ);483.5;485.5
2024;2211304;0814;Математически - АЕ М Инф;482;483.75
2024;2216306;3909;Математически (математика и информатика) - НЕ (ИИЧЕ);481.5;483.5
2024;2211304;0821;Математически - НЕ М Инф;480.75;484.25
2024;2213350;2127;Системно програмиране - АЕ;472;481
2024;2213350;2132;Компютърни мрежи - АЕ;469;475.75
2024;2216164;2561;Чужди езици - ИЕ интензивно, АЕ;466;483
2024;2211304;0843;Природни науки - АЕ ХООС БЗО;465.37;471.35
2024;2204091;2644;Чужди езици - НЕ интензивно, АЕ;463;480
2024;2205407;2328;Системно програмиране - АЕ, НЕ;462.75;471.75
2024;2224073;2658;Чужди езици - НЕ интензивно, АЕ;460;471.5
2024;2216164;2564;Чужди езици - ИЕ интензивно, ИтЕ;459.5;480.5
2024;2211304;0835;Природни науки - АЕ БЗО ХООС;458.5;458.5
2024;2211304;0847;Икономическо развитие - АЕ ГИ М;455.91;480
2024;2216164;2562;Чужди езици - ИЕ интензивно, ФЕ;454.5;479.5
2024;2216164;2569;Чужди езици - ИЕ интензивно, ПортЕ;454;480
2024;2205407;2338;Приложно програмиране - АЕ, НЕ;453;465.5
2024;2224073;2656;Чужди езици - НЕ интензивно, ФЕ;452.5;470
2024;2211419;0719;Строителство и архитектура - АЕ;452.25;463.25
2024;2211419;0973;Строителство и архитектура - НЕ;451;472.5
2024;2206302;2018;Чужди езици - АЕ интензивно, НЕ;448;475
2024;2216301;0727;Чужди езици - АЕ интензивно, НЕ;446.5;468.5
2024;2224073;2651;Чужди езици - НЕ интензивно, РЕ;444.5;465.5
2024;2206302;2025;Чужди езици АЕ интензивно, ИЕ;444;476
2024;2206302;2034;Чужди езици - АЕ интензивно, РЕ;443;463
2024;2216301;3349;Предприемачески - АЕ интензивно, НЕ;442.5;466
2024;2216301;0672;Чужди езици - АЕ интензивно, ИЕ;442.5;474
2024;2211304;0830;Математически - АЕ ФА М;441;477.5
2024;2209051;3998;Компютърна анимация - АЕ интензивно, ИтЕ;440;469
2024;2222009;2168;Чужди езици - ФЕ интензивно, НЕ;437;469.5
2024;2216301;0649;Чужди езици - АЕ интензивно, РЕ;437;452.5
2024;2216301;0752;Чужди езици - АЕ интензивно, ФЕ;437;470
2024;2205407;4777;Приложно програмиране - АЕ, НЕ (дуална);437;471.25
2024;2209051;2291;Изобразително изкуство - АЕ интензивно, ИтЕ;436.25;473
2024;2222009;2158;Чужди езици - ФЕ интензивно, АЕ;435;474
2024;2211304;4091;Природни науки - НЕ БЗО ХООС;433.41;437.09
2024;2211035;0388;Чужди езици - НЕ интензивно, РЕ;432.5;457
2024;2224022;4766;Хуманитарен - БЕЛ/Фил, ИЕ интензивно, АЕ;431.5;465
2024;2221031;2766;Чужди езици - ИЕ интензивно, АЕ;431.5;478
2024;2222009;2163;Чужди езици - ФЕ интензивно, ИЕ;431;475
2024;2205407;2360;Компютърни мрежи - АЕ, НЕ;430.75;464.75
2024;2209051;2276;Компютърна графика - АЕ интензивно, НЕ;430.5;451.5
2024;2224022;3635;Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС;429;471
2024;2205407;4140;Програмиране на роботи - АЕ, НЕ;427.75;461.5
2024;2224022;2565;Хуманитарен - БЕЛ/Фил, АЕ интензивно, ИЕ;427;458.5
2024;2221031;2755;Чужди езици - АЕ интензивно, ИЕ;427;452
2024;2216001;1831;Чужди езици - ИЕ интензивно, АЕ;426;472.75
2024;2204032;3371;Софтуерни и хардуерни науки - АЕ интензивно, НЕ;426;452.5
2024;2224022;3017;Природни науки - Биол, Хим, АЕ интензивно, НЕ;425.5;456.5
2024;2211035;0389;Чужди езици - интензивно НЕ, РЕ;425.5;454
2024;2211035;0390;Чужди езици - ФЕ интензивно, РЕ;425;449
2024;2222009;4338;Чужди езици - ФЕ интензивно, Латински език;425;455
2024;2221031;2759;Чужди езици - НЕ интензивно, АЕ;424;450
2024;2224022;4767;Обществени науки - Ист/Фил, ИЕ интензивно, АЕ;423.5;462
2024;2204032;3372;Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС;423.5;467.5
2024;2224022;2577;Обществени науки - Ист/Фил, АЕ интензивно, ИЕ;423;452
2024;2224432;1292;Интериорен дизайн - ИтЕ;422.25;467.75
2024;2222133;2269;Чужди езици - АЕ интензивно, РЕ;421.5;448
2024;2205407;2363;Компютърна техника и технологии - АЕ, НЕ;421.25;442.5
2024;2211419;0772;Парково строителство и озеленяване - АЕ;419;466.25
2024;2204032;2773;Чужди езици - АЕ интензивно, ИЕ;418.5;455
2024;2204032;2771;Чужди езици - АЕ интензивно, НЕ;418;455.5
2024;2211419;0762;Геодезия - АЕ;416.75;449.25
2024;2216001;1906;Чужди езици - АЕ интензивно, ИЕ;416.25;458.25
2024;2211035;0392;Чужди езици - интензивно ФЕ, РЕ;412;450.5
2024;2204032;2775;Чужди езици - АЕ интензивно, ФЕ;409;450
2024;2224433;0751;Банково дело - АЕ интензивно, ИЕ;408.5;455.5
2024;2211035;3505;Природни науки - БЗО ХООС интензивно НЕ, РЕ;408;487
2024;2224432;3856;Интериорен дизайн - ФЕ;407.25;421.75
2024;2222012;2209;Чужди езици - НЕ интензивно, АЕ/РЕ по избор;407;442.25
2024;2221031;3018;Математически - АЕ интензивно, НЕ;406.5;453.5
2024;2204032;2777;Чужди езици - АЕ интензивно, РЕ;405.5;443
2024;2204018;1631;Чужди езици - ЯЕ интензивно, АЕ;404.5;440
2024;2216001;1900;Природни науки - БЗО и ХООС - ИЕ интензивно, АЕ;404.5;445
2024;2222133;2270;Чужди езици - ФЕ интензивно, РЕ;404;452.5
2024;2204018;0905;Чужди езици - ФЕ интензивно, ИЕ;403.5;448.5
2024;2224433;0937;Банково дело - НЕ интензивно, АЕ;403.5;433.5
2024;2224433;0779;Бизнес администрация - ИЕ интензивно, АЕ;401.5;449
2024;2224433;0788;Електронна търговия - АЕ интензивно, ИЕ;401.5;432
2024;2205407;2372;Промишлена електроника - АЕ, НЕ (дуална);401;435.75
2024;2204018;0902;Природни науки - АЕ интензивно, НЕ;400;424.5
