yr;school_id;class_id;class_name;min_rank;max_rank
2022;2216306;2278;Математически (математика и информатика) - НЕ (ИИЧЕ);490.25;490.5
2022;2216306;2277;Математически (математика и информатика) - АЕ (РИЧЕ);486.5;490
2022;2216306;3909;Математически (математика и физика) - НЕ (ИИЧЕ);485.75;490
2022;2216306;3907;Математически (математика и физика) - АЕ (РИЧЕ);483.5;486.25
2022;2211304;0814;Математически - АЕ М Инф;476.75;483.25
2022;2211304;0821;Математически - НЕ М Инф;476.5;482.5
2022;2216164;2561;Чужди езици - ИЕ интензивно, АЕ;464;486
2022;2213350;2127;Системно програмиране - АЕ;460.75;481.75
2022;2213350;2132;Компютърни мрежи - АЕ;456;460.5
2022;2204091;2644;Чужди езици - НЕ интензивно /АЕ;452.5;482
2022;2224073;2658;Чужди езици - НЕ интензивно, АЕ;447.5;470
2022;2216164;2564;Чужди езици - ИЕ интензивно, ИтЕ;445;480.5
2022;2205407;2328;Системно програмиране - АЕ, НЕ;444.25;456
2022;2206302;2018;Чужди езици - АЕ интензивно, НЕ ,М, ФА;443.5;466.5
2022;2216164;2562;Чужди езици - ИЕ интензивно, ФЕ;438.5;477.5
2022;2216301;0727;Чужди езици - АЕ интензивно, НЕ;437.5;477.5
2022;2224073;2656;Чужди езици - НЕ интензивно, ФЕ;436.5;467.5
2022;2216164;2569;Чужди езици - ИЕ интензивно, ПортЕ;436;469
2022;2206302;2034;Чужди езици - АЕ интензивно, РЕ, М, ИТ;435.5;460.5
2022;2211304;0843;Природни науки - АЕ ХООС БЗО;435.5;472.5
2022;2211419;0719;Строителство и архитектура - АЕ;433.75;470.25
2022;2211304;0830;Математически - АЕ ФА М;433.06;452.86
2022;2216301;0672;Чужди езици - АЕ интензивно, ИЕ;432.5;476
2022;2216301;3349;Предприемачество - АЕ интензивно, НЕ;432;464.5
2022;2205407;2338;Приложно програмиране - АЕ, НЕ;431.5;452
2022;2206302;2025;Чужди езици АЕ интензивно, ИЕ, М, ГИ;431;452
2022;2206302;2030;Чужди езици - АЕ интензивно, ИЕ, БЕЛ, ИТ;429;464
2022;2211304;0847;Икономическо развитие - АЕ;428;456.17
2022;2206302;2028;Чужди езици - АЕ интензивно, ИЕ, ИЦ, БЕЛ;427;467
2022;2206302;2022;Чужди езици - АЕ интензивно, НЕ, БЗО, ХООС;426;449
2022;2206302;2020;Чужди езици - АЕ интензивно, НЕ, БЕЛ, ИЦ;425.5;467
2022;2216301;0649;Чужди езици - АЕ интензивно, РЕ;425.5;450
2022;2224073;2651;Чужди езици - НЕ интензивно, РЕ;424.5;464.5
2022;2216301;0752;Чужди езици - АЕ интензивно, ФЕ;423.5;459.5
2022;2211035;0388;Чужди езици - НЕ интензивно, РЕ;421;447.5
2022;2209051;2291;Изобразително изкуство - АЕ интензивно, ИтЕ;420.5;450.25
2022;2224022;2577;Чужди езици - ИЕ интензивно, АЕ;416.5;466
2022;2211419;0973;Строителство и архитектура - НЕ;416;453.25
2022;2222009;2158;Чужди езици - ФЕ интензивно, АЕ;414;465.5
2022;2222009;2168;Чужди езици - ФЕ интензивно, НЕ;412;462.5
2022;2209051;2276;Компютърна графика - АЕ интензивно, НЕ;410;454
2022;2224022;3017;Чужди езици - АЕ интензивно, НЕ;408.5;443.5
2022;2221031;2766;Чужди езици - ИЕ интензивно, АЕ;408;457.5
2022;2222009;2163;Чужди езици - ФЕ интензивно, ИЕ;408;469.5
2022;2224022;2565;Чужди езици - АЕ интензивно, ИЕ;407.5;444.5
2022;2209051;3998;Компютърна анимация - АЕ интензивно, ИтЕ;407;427
2022;2205407;2360;Компютърни мрежи - АЕ, НЕ;404.25;445.75
2022;2211035;0389;Чужди езици - интензивно НЕ, РЕ;404;448
2022;2204032;3371;Софтуерни и хардуерни науки - АЕ интензивно /НЕ;403.5;438.5
2022;2224022;3635;Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС;403;448.5
2022;2221031;2755;Чужди езици - АЕ интензивно, ИЕ;401;441
2022;2204032;3372;Природни науки - АЕ интензивно/ ИЕ, БЗО и ХООС;401;457.5
2022;2204032;2773;Чужди езици - АЕ интензивно / ИЕ;401;463
2022;2204032;2771;Чужди езици - АЕ интензивно /НЕ;400.5;442
2022;2204018;1631;Чужди езици - ЯЕ интензивно;400;440
2022;2221031;2759;Чужди езици - НЕ интензивно, АЕ;399.5;438.5
2022;2211035;0390;Чужди езици - ФЕ интензивно, РЕ;399.5;435.5
2022;2224432;1294;Графичен дизайн - АЕ, ИтЕ;399;431.5
2022;2224433;0751;Банково дело - АЕ интензивно, НЕ;398.5;440.5
2022;2211304;4091;Природни науки - НЕ БЗО ХООС;397.25;419
2022;2224432;1292;Интериорен дизайн - ИтЕ, АЕ;397;453.5
2022;2224433;0937;Банково дело - НЕ интензивно, АЕ;395;425.5
2022;2224433;0802;Икономическа информатика - АЕ интензивно, НЕ;394.5;421
2022;2216001;1831;Чужди езици - ИЕ интензивно, АЕ;394;434
2022;2204018;0905;Чужди езици - ФЕ интензивно;393.5;435.5
2022;2222133;2269;Чужди езици - АЕ интензивно, РЕ;393;446.5
2022;2224432;1290;Интериорен дизайн- НЕ, АЕ;392.25;421.5
2022;2204018;0897;Чужди езици - НЕ интензивно;391;444
2022;2224432;3856;Интериорен дизайн - ФЕ, ИтЕ;389;406.5
2022;2205407;2363;Компютърна техника и технологии - АЕ, НЕ;389;442.5
2022;2211035;3505;Природни науки - БЗО ХООС НЕ интензивно, РЕ;386.75;468.25
2022;2224433;0788;Електронна търговия - АЕ интензивно, НЕ;386;424.5
2022;2205119;1522;Хуманитарни науки - АЕ интензивно;385.5;409
2022;2204134;1952;Чужди езици - АЕ интензивно / Иврит;385;457.75
2022;2216001;1906;Чужди езици - АЕ интензивно, ИЕ;385;416.25
2022;2224432;1296;Рекламна графика - АЕ, ИтЕ;384.25;408.75
2022;2222012;2209;Чужди езици - НЕ интензивно;383.75;448.75
2022;2221031;3018;Математически - АЕ интензивно, НЕ;382.5;417.5
2022;2222133;2270;Чужди езици - ФЕ интензивно, РЕ;381.5;447
2022;2211035;0392;Чужди езици - интензивно ФЕ, РЕ;381;442
2022;2204018;0902;Природни науки - АЕ интензивно;380.5;431.5
2022;2204032;2775;Чужди езици - АЕ интензивно / ФЕ;380;441
2022;2223431;0738;Системно програмиране - АЕ;379;429.25
2022;2211419;0762;Геодезия - АЕ;378.5;432.75
2022;2204032;2777;Чужди езици - АЕ интензивно /РЕ;378;425
2022;2224433;0779;Бизнес администрация - ИЕ интензивно, АЕ;374.5;469.5
2022;2205407;2366;Микропроцесорна техника - АЕ, НЕ;372.75;406
2022;2224433;0933;Банково дело - ФЕ интензивно, АЕ;372;439.5
2022;2221138;2456;Чужди езици - ЯЕ интензивно, АЕ;371.75;404
2022;2205119;1532;Чужди езици - РЕ интензивно;370.75;398.25
2022;2204018;1647;Чужди езици - КорЕ интензивно;370.5;395
2022;2204018;3931;Природни науки - ФЕ интензивно;368.5;421
2022;2205119;1526;Природни науки - АЕ интензивно;366;420
2022;2222133;2272;Чужди езици - РЕ интензивно, АЕ;366;434
2022;2224433;0775;Застрахователно и осигурително дело - НЕ интензивно, АЕ;366;422.5
2022;2216001;1900;Природни науки - Биология и здравно образование - ИЕ интнензивно, АЕ;365.5;405.5
2022;2224433;0941;Електронна търговия - РЕ интензивно, АЕ;365.5;442
2022;2222007;0359;Чужди езици - АЕ интензивно, ИЕ;363.5;401.5
2022;2211419;0772;Парково строителство и озеленяване - АЕ;363;411.25
2022;2205105;2514;Чужди езици - ИтЕ интензивно, АЕ;362;383.25
2022;2216001;1907;Природни науки - Биология и здравно образование - АЕ интензивно, ИЕ;361.75;381.25
2022;2211420;3604;Икономика и мениджмънт - ИЕ;360.5;387
2022;2211420;2749;Икономическа информатика - АЕ;360.5;446.5
2022;2222007;0361;Софтуерни и хардуерни науки - АЕ интензивно, НЕ;360;399.5
2022;2222007;0360;Чужди езици - АЕ интензивно, НЕ;359;440.5
2022;2204030;1307;Чужди езици - ИЕ интензивно /АЕ;356.5;386.5
2022;2211420;2754;Икономика и мениджмънт - АЕ;354.5;451
2022;2223431;0743;Приложно програмиране - АЕ;353;430.25
2022;2204018;1642;Чужди езици - КитЕ интензивно;352.5;434.5
2022;2211420;2764;Икономика и мениджмънт - НЕ;351.5;416.5
2022;2211420;2768;Икономика и мениджмънт - ФЕ;349.5;433
2022;2211420;3603;Икономическа информатика - НЕ;348.5;415
2022;2222007;0363;Чужди езици - АЕ интензивно, ФЕ;348;398.5
2022;2224433;0777;Оперативно счетоводство - РЕ интензивно, АЕ;347;395
2022;2204134;1961;Природни науки - АЕ интензивно /Иврит;346.5;400.5
2022;2221138;2451;Чужди езици - КитЕ интензивно, АЕ;345.5;362.25
2022;2221023;0916;Чужди езици - ИтЕ интензивно, АЕ;345.5;403.25
2022;2205407;2372;Промишлена електроника - АЕ, НЕ;345.5;376.75
2022;2211419;0735;Водно строителство - АЕ;344.25;398
2022;2211419;0748;Транспортно строителство - АЕ;343.5;405.75
2022;2222127;1362;Хуманитарни науки - ИЕ интензивно, АЕ;343;393.5
2022;2222127;1358;Хумантарни науки - АЕ интензивно, НЕ;343;367.5
2022;2222127;1364;Природни науки - АЕ интензивно, ИЕ;342;398
2022;2213125;1546;Хуманитарни науки - АЕ интензивно;340.75;411
2022;2222127;1366;Предприемачески - АЕ интензивно, ИЕ;339.5;392
2022;2222012;2215;Предприемачески - ФЕ интензивно, АЕ;336.5;377.5
