yr;school_id;class_id;class_name;min_rank;max_rank
2023;2216306;2277;Математически (математика и информатика) - АЕ (РИЧЕ);483.5;485.75
2023;2216306;3909;Математически (математика и физика) - НЕ (ИИЧЕ);482;484.25
2023;2211304;0814;Математически - АЕ М Инф;480;482.5
2023;2211304;0821;Математически - НЕ М Инф;479.5;481.75
2023;2213350;2127;Системно програмиране - АЕ;468.5;482.5
2023;2211304;0843;Природни науки - АЕ ХООС БЗО;464.4;468.99
2023;2216164;2561;Чужди езици - ИЕ интензивно. АЕ;464;471
2023;2213350;2132;Компютърни мрежи - АЕ;461.5;468.25
2023;2216164;2564;Чужди езици - ИЕ интензивно. ИтЕ;455;476
2023;2204091;2644;Чужди езици - НЕ интензивно. АЕ;455;485
2023;2224073;2658;Чужди езици - НЕ интензивно. АЕ;451.5;478
2023;2216164;2569;Чужди езици - ИЕ интензивно. ПортЕ;447;472
2023;2205407;2328;Системно програмиране - АЕ. НЕ;446;468.5
2023;2216164;2562;Чужди езици - ИЕ интензивно. ФЕ;445.5;478
2023;2206302;2018;Чужди езици - АЕ интензивно. НЕ .М. ФА;444.5;464
2023;2224073;2656;Чужди езици - НЕ интензивно. ФЕ;443;466
2023;2211304;0835;Природни науки - АЕ БЗО ХООС;438.25;438.25
2023;2205407;2338;Приложно програмиране - АЕ. НЕ;438;465.5
2023;2206302;2025;Чужди езици АЕ интензивно. ИЕ. М. ГИ;437.5;461
2023;2216301;0727;Чужди езици - АЕ интензивно. НЕ;437.5;470
2023;2216301;0672;Чужди езици - АЕ интензивно. ИЕ;435;481.5
2023;2206302;2022;Чужди езици - АЕ интензивно. НЕ. БЗО. ХООС;434.5;460.5
2023;2224073;2651;Чужди езици - НЕ интензивно. РЕ;434;457
2023;2206302;2020;Чужди езици - АЕ интензивно. НЕ. БЕЛ. ИЦ;432.5;453
2023;2206302;2030;Чужди езици - АЕ интензивно. ИЕ. БЕЛ. ИТ;432;467.5
2023;2211304;0847;Икономическо развитие - АЕ;431.67;474.9
2023;2206302;2028;Чужди езици - АЕ интензивно. ИЕ. ИЦ. БЕЛ;430;460.5
2023;2216301;3349;Предприемачески - АЕ интензивно. НЕ;429.5;450
2023;2206302;2034;Чужди езици - АЕ интензивно. РЕ. М. ИТ;429;470.5
2023;2209051;2291;Изобразително изкуство - АЕ интензивно. ИтЕ;425;453
2023;2211035;0388;Чужди езици - НЕ интензивно. РЕ;424;449.5
2023;2216301;0752;Чужди езици - АЕ интензивно. ФЕ;424;472
2023;2216301;0649;Чужди езици - АЕ интензивно. РЕ;423;440.5
2023;2211419;0719;Строителство и архитектура - АЕ;422.75;478.25
2023;2211304;4091;Природни науки - НЕ БЗО ХООС;420.66;444.09
2023;2224022;2577;Чужди езици - ИЕ интензивно. АЕ;417;462
2023;2209051;3998;Компютърна анимация - АЕ интензивно. ИтЕ;416;435
2023;2222009;2158;Чужди езици - ФЕ интензивно. АЕ;416;455
2023;2222009;2168;Чужди езици - ФЕ интензивно. НЕ;416;444.5
2023;2211419;0973;Строителство и архитектура - НЕ;415.75;444.75
2023;2209051;2276;Компютърна графика - АЕ интензивно. НЕ;415;434.5
2023;2222009;2163;Чужди езици - ФЕ интензивно. ИЕ;409.5;460.5
2023;2222009;4338;Чужди езици - ФЕ интензивно. Латински език;409;448
2023;2224432;1294;Графичен дизайн - АЕ;408.5;431.5
2023;2224432;1292;Интериорен дизайн - ИтЕ;408.25;427.75
2023;2224022;3635;Природни науки ИЕ - интензивно. АЕ. БЗО. ХООС;408;442.5
2023;2221031;2766;Чужди езици - ИЕ интензивно. АЕ;407;464
2023;2211035;0389;Чужди езици - интензивно НЕ. РЕ;405.5;459
2023;2205407;4140;Програмиране на роботи - АЕ. НЕ;405.5;444
2023;2204032;3372;Природни науки - АЕ интензивно. ИЕ. БЗО и ХООС;404.5;440.5
2023;2224022;3017;Чужди езици - АЕ интензивно. НЕ;404;446.5
2023;2221031;2759;Чужди езици - НЕ интензивно. АЕ;404;430
2023;2224022;2565;Чужди езици - АЕ интензивно. ИЕ;403.5;432
2023;2224432;1290;Интериорен дизайн- НЕ;403.25;429.25
2023;2204032;3371;Софтуерни и хардуерни науки - АЕ интензивно. НЕ;403;431
2023;2211035;0390;Чужди езици - ФЕ интензивно. РЕ;403;436
2023;2222012;2209;Чужди езици - НЕ интензивно. АЕ/РЕ;402.25;439.5
2023;2211304;0830;Математически - АЕ ФА М;402.08;484.5
2023;2216001;1831;Чужди езици - ИЕ интензивно. АЕ;402;446
2023;2221031;2755;Чужди езици - АЕ интензивно. ИЕ;402;445
2023;2204032;2771;Чужди езици - АЕ интензивно. НЕ;400.5;439
2023;2224432;3856;Интериорен дизайн - ФЕ;400;416.5
2023;2222133;2269;Чужди езици - АЕ интензивно. РЕ;399.5;434
2023;2205407;2360;Компютърни мрежи - АЕ. НЕ;397.5;437
2023;2224432;1296;Рекламна графика - АЕ;395.75;414
2023;2216001;1906;Чужди езици - АЕ интензивно. ИЕ;395;416.5
2023;2204032;2773;Чужди езици - АЕ интензивно. ИЕ;393.5;448
2023;2211035;0392;Чужди езици - интензивно ФЕ. РЕ;393;436
2023;2224433;0751;Банково дело - АЕ интензивно. ФЕ;392;430.5
2023;2224433;0937;Банково дело - НЕ интензивно. АЕ;392;422.5
2023;2204134;1952;Чужди езици - АЕ интензивно. Иврит;390.75;431
2023;2216001;1900;Природни науки - Биология и здравно образование - ИЕ интензивно. АЕ;390.25;430.5
2023;2204018;1631;Чужди езици - ЯЕ интензивно. АЕ;389.5;440
2023;2205407;2363;Компютърна техника и технологии - АЕ. НЕ;389.5;442
2023;2203140;4453;Български танци;387.75;387.75
2023;2224433;0802;Икономическа информатика - АЕ интензивно. ФЕ;385.5;415
2023;2211035;3505;Природни науки - БЗО ХООС интензивно НЕ. РЕ;384.25;467.25
2023;2204032;2775;Чужди езици - АЕ интензивно. ФЕ;383.5;432
2023;2205119;1522;Хуманитарни науки - АЕ интензивно;382;410.25
2023;2224433;0779;Бизнес администрация - ИЕ интензивно. АЕ;379.5;418.5
2023;2216001;1907;Природни науки - Биология и здравно образование - АЕ интензивно. ИЕ;379;420
2023;2221031;3018;Математически - АЕ интензивно. НЕ;379;437.5
2023;2204032;2777;Чужди езици - АЕ интензивно. РЕ;378;418.5
2023;2205105;2514;Чужди езици - ИтЕ интензивно. АЕ;377.25;426
2023;2204018;0905;Чужди езици - ФЕ интензивно. ИЕ;377;433
2023;2211419;0762;Геодезия - АЕ;377;415.5
2023;2224433;0788;Електронна търговия - АЕ интензивно. ФЕ;374.5;433.5
2023;2216001;4407;Икономическо развитие - АЕ разширено. ГИ;373.75;403.75
2023;2222133;2270;Чужди езици - ФЕ интензивно. РЕ;373;436
2023;2204018;0902;Природни науки - АЕ интензивно. НЕ;373;408.5
2023;2204018;0897;Природни науки - НЕ интензивно. АЕ;373;434.5
2023;2204018;1647;Чужди езици - КорЕ интензивно. АЕ;372.5;400
2023;2220308;1572;Компютърна графика;371.75;422.5
2023;2221138;2456;Чужди езици - ЯЕ интензивно. АЕ;371.25;416
2023;2223431;0738;Системно програмиране - АЕ;369;437
2023;2221138;2451;Чужди езици - КитЕ интензивно. АЕ;368.75;441.5
2023;2205119;1532;Чужди езици - РЕ интензивно;367.75;404.5
2023;2211420;3604;Икономика и мениджмънт - ИЕ;367.5;377
2023;2204018;3931;Природни науки - ФЕ интензивно. АЕ;366.5;434
2023;2222007;0361;Софтуерни и хардуерни науки - АЕ интензивно. НЕ;366.5;393
2023;2221023;0916;Чужди езици - ИтЕ интензивно. АЕ;364.5;400
2023;2224433;0775;Застрахователно и осигурително дело - AE интензивно. ФЕ;364.5;410
2023;2204030;1307;Чужди езици - ИЕ интензивно. АЕ;361.5;417
2023;2222007;0359;Чужди езици - АЕ интензивно. ИЕ;361;404.5
2023;2211420;2749;Икономическа информатика - АЕ;361;432.5
2023;2222133;2272;Чужди езици - РЕ интензивно. АЕ;360.5;422
2023;2211420;2754;Икономика и мениджмънт - АЕ;360;410
2023;2205407;2372;Промишлена електроника - АЕ. НЕ;358.25;434.5
2023;2204134;1961;Природни науки - АЕ интензивно. Иврит;357.5;427
2023;2222007;0360;Чужди езици - АЕ интензивно. НЕ;357.5;394
2023;2211420;2764;Икономика и мениджмънт - НЕ;357;380.5
2023;2211419;0772;Парково строителство и озеленяване - АЕ;356.25;414
2023;2211420;3603;Икономическа информатика - НЕ;356;405
2023;2206003;2914;Графичен дизайн - АЕ;355.5;411.25
2023;2224433;0941;Електронна търговия - РЕ интензивно. АЕ;355;387.5
2023;2213125;1546;Хуманитарни науки - АЕ интензивно;354.75;412.5
2023;2224433;0933;Банково дело - ФЕ интензивно. АЕ;354;408
2023;2222007;0363;Чужди езици - АЕ интензивно. ФЕ;352.5;402
2023;2205105;2543;Екскурзоводско обслужване - ИтЕ интензивно. АЕ;350.75;416.5
2023;2222127;1362;Хуманитарни науки - ИЕ интензивно. АЕ;348.5;399.5
2023;2205119;1526;Природни науки - АЕ интензивно;348;401.5
2023;2204030;1308;Природни науки - ИЕ интензивно. АЕ;347.5;394
2023;2222127;1358;Хумантарни науки - АЕ интензивно. ИЕ;347;386
2023;2204402;3955;Програмиране на изкуствен интелект - АЕ;346.5;403.5
2023;2224433;0777;Оперативно счетоводство - РЕ интензивно. АЕ;346.5;382.5
2023;2211420;4388;Оперативно счетоводство - АЕ;346;357
2023;2222127;1364;Природни науки - АЕ интензивно. ИЕ;345;397.5
