yr;school_id;class_id;class_name;min_rank;max_rank
2024;2216306;2277;Математически (математика и информатика) - АЕ (РИЧЕ);485.75;499.5
2024;2216306;4486;Математически (математика и физика) - АЕ (РИЧЕ);485.5;499.25
2024;2211304;0814;Математически - АЕ М Инф;483.75;497.5
2024;2216306;3909;Математически (математика и информатика) - НЕ (ИИЧЕ);483;497.5
2024;2211304;0821;Математически - НЕ М Инф;482.5;497.5
2024;2213350;2127;Системно програмиране - АЕ;473.5;494.5
2024;2213350;2132;Компютърни мрежи - АЕ;470.5;482.25
2024;2211304;0843;Природни науки - АЕ ХООС БЗО;468.69;490.5
2024;2216164;2561;Чужди езици - ИЕ интензивно, АЕ;468;496.5
2024;2204091;2644;Чужди езици - НЕ интензивно, АЕ;465.5;500
2024;2205407;2328;Системно програмиране - АЕ, НЕ;465.25;472.25
2024;2224073;2658;Чужди езици - НЕ интензивно, АЕ;463;491
2024;2211304;0835;Природни науки - АЕ БЗО ХООС;460.75;488.75
2024;2216164;2564;Чужди езици - ИЕ интензивно, ИтЕ;460.5;499
2024;2211419;0719;Строителство и архитектура - АЕ;458;487
2024;2216164;2569;Чужди езици - ИЕ интензивно, ПортЕ;457.5;483.5
2024;2211304;0847;Икономическо развитие - АЕ ГИ М;457.39;483.5
2024;2205407;2338;Приложно програмиране - АЕ, НЕ;457;470.25
2024;2216164;2562;Чужди езици - ИЕ интензивно, ФЕ;456;487
2024;2224073;2656;Чужди езици - НЕ интензивно, ФЕ;455;478.5
2024;2206302;2018;Чужди езици - АЕ интензивно, НЕ;452.5;494.5
2024;2211419;0973;Строителство и архитектура - НЕ;451.25;492
2024;2216301;0727;Чужди езици - АЕ интензивно, НЕ;450.5;494
2024;2224073;2651;Чужди езици - НЕ интензивно, РЕ;448.5;492
2024;2206302;2025;Чужди езици АЕ интензивно, ИЕ;448;486
2024;2216301;0672;Чужди езици - АЕ интензивно, ИЕ;446;482
2024;2222009;2168;Чужди езици - ФЕ интензивно, НЕ;445;488
2024;2206302;2034;Чужди езици - АЕ интензивно, РЕ;445;474
2024;2216301;3349;Предприемачески - АЕ интензивно, НЕ;445;478.5
2024;2211304;0830;Математически - АЕ ФА М;444.25;493.75
2024;2205407;2360;Компютърни мрежи - АЕ, НЕ;442.5;464.75
2024;2209051;2291;Изобразително изкуство - АЕ интензивно, ИтЕ;442.25;478.25
2024;2216301;0649;Чужди езици - АЕ интензивно, РЕ;441.5;482
2024;2209051;3998;Компютърна анимация - АЕ интензивно, ИтЕ;441;478
2024;2216301;0752;Чужди езици - АЕ интензивно, ФЕ;441;472
2024;2211035;0388;Чужди езици - НЕ интензивно, РЕ;439;457
2024;2222009;2158;Чужди езици - ФЕ интензивно, АЕ;439;487.5
2024;2211304;4091;Природни науки - НЕ БЗО ХООС;438.05;480.93
2024;2224022;4766;Хуманитарен - БЕЛ/Фил, ИЕ интензивно, АЕ;437.5;465
2024;2205407;4777;Приложно програмиране - АЕ, НЕ (дуална);437.5;473
2024;2205407;4140;Програмиране на роботи - АЕ, НЕ;437;464
2024;2222009;2163;Чужди езици - ФЕ интензивно, ИЕ;435.5;475.5
2024;2209051;2276;Компютърна графика - АЕ интензивно, НЕ;434.5;491.5
2024;2224022;3635;Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС;432.5;471
2024;2221031;2766;Чужди езици - ИЕ интензивно, АЕ;432.5;478
2024;2211035;0389;Чужди езици - интензивно НЕ, РЕ;432;457
2024;2204032;3372;Природни науки - АЕ интензивно, ИЕ, БЗО и ХООС;431.5;467.5
2024;2222009;4338;Чужди езици - ФЕ интензивно, Латински език;431;479.5
2024;2224022;2565;Хуманитарен - БЕЛ/Фил, АЕ интензивно, ИЕ;430.5;458.5
2024;2224022;3017;Природни науки - Биол, Хим, АЕ интензивно, НЕ;429;467
2024;2205407;2363;Компютърна техника и технологии - АЕ, НЕ;429;448
2024;2221031;2755;Чужди езици - АЕ интензивно, ИЕ;428;452
2024;2221031;2759;Чужди езици - НЕ интензивно, АЕ;428;470
2024;2216001;1831;Чужди езици - ИЕ интензивно, АЕ;427.5;472.75
2024;2224022;2577;Обществени науки - Ист/Фил, АЕ интензивно, ИЕ;427.5;454.5
2024;2204032;3371;Софтуерни и хардуерни науки - АЕ интензивно, НЕ;427.5;458.5
