yr;school_id;class_id;class_name;min_rank;max_rank
2025;2211035;392;Природни науки - интензивно ФЕ, РЕ;413;452
2025;2224433;779;Бизнес администрация - ИЕ интензивно, АЕ;413;476
2025;2204018;897;"Математически - АЕ интензивно, НЕ; М и Инф";412;463
2025;2222012;2209;Чужди езици - НЕ интензивно, АЕ/РЕ по избор;411.5;446.75
2025;2204032;2777;"Хуманитарни науки - АЕ интензивно, РЕ; БЕЛ и ИЦ";411.5;449.5
2025;2211419;748;Транспортно строителство - АЕ;411.5;444
2025;2205407;2372;Промишлена електроника - АЕ, НЕ;411;444
2025;2216001;1907;Природни науки - БЗО и ХООС - АЕ интензивно, ИЕ;410;449.25
2025;2224432;4855;Компютърна анимация - ИЕ;409.75;461
2025;2224432;1294;Графичен дизайн - НЕ;409.5;472.5
2025;2224433;775;Застрахователно и осигурително дело - AE интензивно, ИЕ;408;441
2025;2211420;2754;Икономика и мениджмънт - АЕ;408;487
2025;2204018;902;"Природни науки - НЕ интензивно, АЕ; БЗО и ХООС";407.5;456.5
2025;2204018;3931;Чужди езици - КорЕ интензивно, АЕ;407.5;460.5
2025;2205119;1522;Хуманитарни науки - АЕ интензивно;406;469.25
2025;2222127;4401;Обществени науки - ИЕ разширено, АЕ;404.25;420
2025;2224433;933;Банково дело - ФЕ интензивно, АЕ;404;454.5
2025;2205105;2514;Чужди езици - ИтЕ интензивно, АЕ;402;460.5
2025;2211420;3604;Икономика и мениджмънт - ИЕ;402;455.5
2025;2216001;4880;Маркетингови проучвания - АЕ интензивно, ИЕ;401.75;453.25
2025;2224433;941;Електронна търговия - РЕ интензивно, АЕ;401.5;464
2025;2224432;1296;Рекламна графика - АЕ;400.5;459.5
2025;2204018;1647;Чужди езици - КитЕ интензивно, АЕ;398;449
2025;2204018;905;"Природни науки - ФЕ интензивно, АЕ; БЗО и ХООС";397;439.5
2025;2211420;2749;Икономическа информатика - АЕ;396;447.5
2025;2222127;3148;Предприемачески - ИЕ интензивно, АЕ;395.5;442.5
2025;2222127;1364;Природни науки - АЕ интензивно, ИЕ;395.5;431.5
2025;2211420;2764;Икономика и мениджмънт - НЕ;395.5;440
2025;2204134;1952;Чужди езици - АЕ интензивно, Иврит;394.5;462.75
2025;2221138;2456;Чужди езици - ЯЕ интензивно, АЕ;394.25;448
2025;2216001;4407;Икономическо развитие - АЕ разширено, ГИ;394.25;438.5
2025;2204030;1307;Чужди езици - ИЕ интензивно, АЕ;394;418
2025;2222133;2272;Чужди езици - РЕ интензивно, АЕ;393;462.5
2025;2222127;1365;Природни науки - ИЕ интензивно, АЕ;392;429
2025;2222007;360;Икономическо развитие - АЕ интензивно, НЕ;391.5;417.5
2025;2205119;1532;Чужди езици - РЕ интензивно;391;439.25
2025;2224433;777;Оперативно счетоводство - РЕ интензивно, АЕ;390;448
2025;2211419;838;Брокер недвижими имоти - АЕ;389.5;429
2025;2222127;1366;Икономическо развитие - АЕ разширено, ИЕ;388.5;422
2025;2222007;4450;Природни науки - БЗО, ХООС, АЕ интензивно, НЕ;388;433.5
2025;2204402;3955;Програмиране на изкуствен интелект - АЕ;388;452.5
2025;2202002;957;Предприемачески -АЕ интензивно, ИЕ, Предприемачество и ГИ;387.25;444.5
2025;2202002;958;Хуманитарни науки - АЕ интензивно, ИЕ, БЕЛ и ИЦ;385;447.25
2025;2211420;4717;Икономика и мениджмънт - ФЕ;383.5;416
2025;2211420;3603;Икономическа информатика - НЕ;382.5;425.5
2025;2213125;1546;Хуманитарни науки - АЕ интензивно;381.75;433.5
2025;2211420;4388;Оперативно счетоводство - АЕ;381.5;455.5
