yr;school_id;class_id;class_name;min_rank;max_rank
2025;2216306;4486;Математически (математика и физика) - АЕ (РИЧЕ);492;493
2025;2216306;2277;Математически (математика и информатика) - АЕ (РИЧЕ);485;491.5
2025;2211304;0814;Математически - АЕ М Инф;484.75;487.25
2025;2216306;5011;Математически (математика и физика) - НЕ (ИИЧЕ);484.75;490.75
2025;2211304;0821;Математически - НЕ М Инф;484.5;489.25
2025;2216306;3909;Математически (математика и информатика) - НЕ (ИИЧЕ);482.75;487.25
2025;2216164;2561;Чужди езици - ИЕ интензивно, АЕ;475;484
2025;2213350;4922;Програмиране на изкуствен интелект - АЕ, НЕ;473.5;483.75
2025;2211304;0843;Природни науки - АЕ ХООС БЗО;470.46;471.99
2025;2213350;4921;Системно програмиране - АЕ, НЕ;470;485.5
2025;2204091;2644;Чужди езици - НЕ интензивно, АЕ;464.5;485
2025;2213350;2127;Системно програмиране - АЕ, РЕ;464.5;470.75
2025;2216164;2564;Чужди езици - ИЕ интензивно, ИтЕ;464;482.5
2025;2211304;0847;Икономическо развитие - АЕ ГИ М;461.5;485
2025;2211419;0719;Строителство и архитектура - АЕ;461.5;479.75
2025;2224073;2658;Чужди езици - НЕ интензивно, АЕ;460.5;470.5
2025;2213350;2132;Компютърни мрежи - АЕ, РЕ;459;472.75
2025;2211304;0835;Природни науки - АЕ БЗО ХООС;458.63;458.63
2025;2216164;2562;Чужди езици - ИЕ интензивно, ФЕ;457.5;479
2025;2216164;2569;Чужди езици - ИЕ интензивно, ПортЕ;457;478.5
2025;2211304;0830;Математически - АЕ ФА М;456.12;462.47
2025;2224073;5128;Математически - НЕ интензивно, РЕ, М и ФА;454.5;473.5
2025;2211419;0973;Строителство и архитектура - НЕ;452;471.25
2025;2224432;1292;Интериорен дизайн - ИтЕ;450.75;453.25
2025;2206302;2025;Чужди езици АЕ интензивно, ИЕ;450.5;480.5
2025;2205407;2328;Системно програмиране - АЕ, НЕ;449.25;465.5
2025;2224073;2656;Чужди езици - НЕ интензивно, ФЕ;448;465
2025;2206302;2018;Чужди езици - АЕ интензивно, НЕ;447.5;465
2025;2216301;0727;Чужди езици - АЕ интензивно, НЕ;447;476
2025;2224022;4766;Хуманитарен - БЕЛ/Фил, ИЕ интензивно, АЕ;445.5;474
2025;2216301;0672;Чужди езици - АЕ интензивно, ИЕ;445.5;473
2025;2216301;3349;Предприемачески - АЕ интензивно, НЕ;445;459.5
2025;2205407;2338;Приложно програмиране - АЕ, НЕ;445;479.75
2025;2224073;5127;Обществени науки - НЕ интензивно, РЕ, ИЦ и ГИ;444.5;459.5
2025;2206302;2034;Чужди езици - АЕ интензивно, РЕ;443;464.5
2025;2209051;3998;Компютърна анимация - АЕ интензивно, ИтЕ;441;456.5
2025;2224432;3856;Интериорен дизайн - ФЕ;440;447.5
2025;2216301;0649;Чужди езици - АЕ интензивно, РЕ;438;454.5
