yr;school_id;class_id;class_name;min_rank;max_rank
2023;2216306;2277;Математически (математика и информатика) - АЕ (РИЧЕ);486;500
2023;2213350;2127;Системно програмиране - АЕ;471;500
2023;2216306;3909;Математически (математика и физика) - НЕ (ИИЧЕ);484.5;499.5
2023;2211304;0814;Математически - АЕ М Инф;483.5;498.5
2023;2216164;2564;Чужди езици - ИЕ интензивно, ИтЕ;456.5;498
2023;2211304;0821;Математически - НЕ М Инф;482.5;497.5
2023;2204091;2644;Чужди езици - НЕ интензивно, АЕ;459;496
2023;2211304;0843;Природни науки - АЕ ХООС БЗО;466.96;495.98
2023;2216164;2561;Чужди езици - ИЕ интензивно, АЕ;468.5;495
2023;2222009;2158;Чужди езици - ФЕ интензивно, АЕ;425;493
2023;2211304;0835;Природни науки - АЕ БЗО ХООС;440;491
2023;2213350;2132;Компютърни мрежи - АЕ;465.5;491
2023;2206302;2030;Чужди езици - АЕ интензивно, ИЕ, БЕЛ, ИТ;436;489
2023;2216301;0672;Чужди езици - АЕ интензивно, ИЕ;442;488.5
2023;2222009;2163;Чужди езици - ФЕ интензивно, ИЕ;413.5;486
2023;2206302;2018;Чужди езици - АЕ интензивно, НЕ ,М, ФА;447;486
2023;2216164;2562;Чужди езици - ИЕ интензивно, ФЕ;450;485
2023;2206302;2022;Чужди езици - АЕ интензивно, НЕ, БЗО, ХООС;437;484.5
2023;2211304;0830;Математически - АЕ ФА М;411.36;484.5
2023;2211419;0719;Строителство и архитектура - АЕ;434.5;484
2023;2216301;0727;Чужди езици - АЕ интензивно, НЕ;447;483.5
2023;2209051;2276;Компютърна графика - АЕ интензивно, НЕ;418;483
2023;2224073;2658;Чужди езици - НЕ интензивно, АЕ;457;483
2023;2205407;2338;Приложно програмиране - АЕ, НЕ;447.5;482.75
2023;2206302;2025;Чужди езици АЕ интензивно, ИЕ, М, ГИ;438;481
2023;2206302;2034;Чужди езици - АЕ интензивно, РЕ, М, ИТ;430.5;479
2023;2216301;0752;Чужди езици - АЕ интензивно, ФЕ;429.5;479
2023;2224432;1292;Интериорен дизайн - ИтЕ;410;478
2023;2216301;0649;Чужди езици - АЕ интензивно, РЕ;427;477.5
2023;2206302;2028;Чужди езици - АЕ интензивно, ИЕ, ИЦ, БЕЛ;433;477
2023;2204134;1961;Природни науки - АЕ интензивно, Иврит;361.5;475.5
2023;2222009;2168;Чужди езици - ФЕ интензивно, НЕ;422;475
2023;2211304;0847;Икономическо развитие - АЕ;444;474.9
2023;2211304;4091;Природни науки - НЕ БЗО ХООС;423.17;473.44
2023;2216164;2569;Чужди езици - ИЕ интензивно, ПортЕ;450.5;472
2023;2211419;0973;Строителство и архитектура - НЕ;420.25;471.5
2023;2204134;1952;Чужди езици - АЕ интензивно, Иврит;397.75;471
2023;2224073;2651;Чужди езици - НЕ интензивно, РЕ;437;470.5
2023;2216301;3349;Предприемачески - АЕ интензивно, НЕ;440.5;469
2023;2205407;2328;Системно програмиране - АЕ, НЕ;453.25;469
2023;2211419;0735;Водно строителство - АЕ;356;468.75
2023;2204018;0905;Чужди езици - ФЕ интензивно, ИЕ;387;468.5
2023;2211035;3505;Природни науки - БЗО ХООС интензивно НЕ, РЕ;390.25;467.25
2023;2213125;1557;Природни науки - АЕ интензивно;324;467
2023;2224022;3635;Природни науки ИЕ - интензивно, АЕ, БЗО, ХООС;414;467
2023;2221031;2766;Чужди езици - ИЕ интензивно, АЕ;414.5;467
2023;2209051;2291;Изобразително изкуство - АЕ интензивно, ИтЕ;430.75;466
2023;2224073;2656;Чужди езици - НЕ интензивно, ФЕ;448.5;466
2023;2211419;0772;Парково строителство и озеленяване - АЕ;357;466
2023;2204018;0897;Природни науки - НЕ интензивно, АЕ;381;465
2023;2207108;1852;Предприемачески - АЕ интензивно, РЕ;271.5;464
2023;2209051;3998;Компютърна анимация - АЕ интензивно, ИтЕ;419.5;463.5
2023;2204032;3371;Софтуерни и хардуерни науки - АЕ интензивно, НЕ;407;463
2023;2224022;2577;Чужди езици - ИЕ интензивно, АЕ;422;462
2023;2224433;0779;Бизнес администрация - ИЕ интензивно, АЕ;386;461.5
2023;2224022;2565;Чужди езици - АЕ интензивно, ИЕ;409.5;460
2023;2206302;2020;Чужди езици - АЕ интензивно, НЕ, БЕЛ, ИЦ;435;459.5
